workload,format,width,offset,ext_offset,trial,eoc,ret,golden_ret,class,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
qnn,mxfp8_e4m3,-5,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-5,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-5,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-6,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-6,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-6,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-7,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-7,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-7,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-8,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-8,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-8,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-9,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-9,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-9,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-10,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-10,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-10,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-11,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-11,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-11,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-12,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-12,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-12,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-13,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-13,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-13,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-14,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-14,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-14,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-15,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-15,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-15,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-16,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-16,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-16,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-17,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-17,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-17,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-18,0,50,0,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-18,0,50,1,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
qnn,mxfp8_e4m3,-18,0,50,2,1,14,14,normal,127,127,0,4278124286,4042322160,2,4,0,0,7
