workload,format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
bitnet_tinyllm,mxfp8_e4m3,0.97,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.97,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.96,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.96,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.96,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.95,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.95,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.95,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.94,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.94,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.94,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.93,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.93,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.93,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.92,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.92,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.92,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.91,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.91,1,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.91,2,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
bitnet_tinyllm,mxfp8_e4m3,0.9,0,1,0,0,normal,0,0,127,127,0,4294967040,0,2,4,0,0,4
