workload,format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
bitnet_tinyllm,mxfp8_e5m2,0.93,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.92,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.92,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.92,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.91,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.91,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.91,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.9,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.9,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.9,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.89,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.89,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.89,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.88,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.88,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.88,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.87,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.87,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.87,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.86,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.86,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.86,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.85,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.85,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.85,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.84,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.84,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.84,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.83,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.83,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.83,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.82,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.82,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.82,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.81,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.81,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.81,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.8,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.8,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.8,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.79,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.79,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.79,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
