format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
mxlog8,0.7,0,0,0,8,crash,-1,-1,226,224,0,2139062143,4269735550,2,4,1,0,7
mxlog8,0.7,1,0,0,8,crash,-1,-1,226,224,0,2139062143,4269735550,2,4,1,0,7
mxlog8,0.7,2,0,0,8,crash,-1,-1,226,224,0,2139062143,4269735550,2,4,1,0,7
mxlog8,0.69,0,0,96,8,crash,-1,-1,226,32,194,1061109759,1010712318,0,4,0,0,1
mxlog8,0.69,1,0,96,8,crash,-1,-1,226,32,131778,1061109759,1044266750,0,4,0,0,1
mxlog8,0.69,2,0,96,8,crash,-1,-1,226,32,131266,1061109759,1010712318,0,4,0,0,1
mxlog8,0.68,0,1,126,8,fault,118,5,253,0,255,255,255,0,0,0,0,0
mxlog8,0.68,1,1,126,8,fault,118,5,255,0,253,253,253,0,0,0,0,0
mxlog8,0.68,2,1,126,8,fault,118,5,253,0,255,253,253,0,0,0,0,0
mxlog8,0.67,0,1,127,8,fault,119,6,255,0,255,255,255,0,0,0,0,0
mxlog8,0.67,1,1,127,8,fault,119,6,255,0,255,255,255,0,0,0,0,0
mxlog8,0.67,2,1,127,8,fault,119,6,255,0,255,255,255,0,0,0,0,0
mxlog8,0.66,0,1,2175,8,fault,2167,7,255,0,1128481791,4351,255,0,0,0,0,0
mxlog8,0.66,1,1,2175,8,fault,2167,7,255,0,1128481791,4351,255,0,0,0,0,0
mxlog8,0.66,2,1,2175,8,fault,2167,7,255,0,1128481791,4351,255,0,0,0,0,0
mxlog8,0.65,0,1,2303,8,fault,2295,8,255,168,1112165119,623197695,2896471295,8,5,0,0,5
mxlog8,0.65,1,1,2303,8,fault,2295,8,255,168,1111638783,623195647,2896471295,8,5,0,8,5
mxlog8,0.65,2,1,2303,8,fault,2295,8,255,168,1111638783,623195647,2762253567,8,5,0,8,5
mxlog8,0.64,0,1,2303,8,fault,2295,8,255,232,168430335,757939711,2896997631,8,5,1,8,5
mxlog8,0.64,1,1,2303,8,fault,2295,8,255,232,168430335,757939711,2896997631,8,5,0,8,5
mxlog8,0.64,2,1,2303,8,fault,2295,8,255,168,168430335,757939711,2896997631,8,5,1,8,5
mxlog8,0.63,0,1,2147483647,8,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxlog8,0.63,1,1,2147483647,8,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxlog8,0.63,2,1,2147483647,8,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
