format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
mxfp8_e5m2,1.0,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,1.0,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,1.0,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.99,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.99,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.99,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.98,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.98,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.98,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.97,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.97,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.97,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.96,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.96,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.96,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.95,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.95,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.95,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.94,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.94,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.94,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.93,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.93,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.93,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.92,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.92,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.92,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.91,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.91,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.91,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.9,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.9,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.9,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.89,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.89,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.89,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.88,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.88,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.88,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.87,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.87,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.87,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.86,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.86,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.86,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.85,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.85,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.85,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.84,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.84,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.84,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.83,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.83,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.83,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.82,0,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.82,1,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.82,2,1,11,11,normal,0,0,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.81,0,1,16,11,fault,27,4,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.81,1,1,16,11,fault,27,4,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.81,2,1,16,11,fault,27,4,127,127,0,1195722821,188,4,4,0,0,7
mxfp8_e5m2,0.8,0,1,16,11,fault,27,4,127,127,0,1220691008,188,4,4,0,0,7
mxfp8_e5m2,0.8,1,1,16,11,fault,27,4,127,127,0,3729079362,188,4,4,0,0,7
mxfp8_e5m2,0.8,2,1,16,11,fault,27,4,127,127,0,1220691008,188,4,4,0,0,7
mxfp8_e5m2,0.79,0,1,24,11,fault,19,3,127,127,0,3619741401,188,4,4,0,0,7
mxfp8_e5m2,0.79,1,1,17,11,fault,26,3,127,127,0,3772767810,188,4,4,0,0,7
mxfp8_e5m2,0.79,2,1,16,11,fault,27,4,127,127,0,3688291796,188,4,4,0,0,7
mxfp8_e5m2,0.78,0,1,24,11,fault,19,3,127,127,0,3645167944,3590324412,4,4,0,0,7
mxfp8_e5m2,0.78,1,1,0,11,fault,11,3,127,127,0,3671646160,3590379222,4,4,0,0,7
mxfp8_e5m2,0.78,2,1,8,11,fault,3,2,127,127,0,3671711188,214,4,4,0,0,7
mxfp8_e5m2,0.77,0,0,0,11,crash,-1,-1,127,127,0,3645234904,54972,4,4,0,0,7
mxfp8_e5m2,0.77,1,0,0,11,crash,-1,-1,127,127,0,1220731352,14079676,4,4,0,0,7
mxfp8_e5m2,0.77,2,0,0,11,crash,-1,-1,127,127,0,1238778587,13893692,4,4,0,0,7
mxfp8_e5m2,0.76,0,0,0,11,crash,-1,-1,127,127,0,3611641415,188,4,4,0,0,7
mxfp8_e5m2,0.76,1,0,0,11,crash,-1,-1,127,127,0,3158359228,4718780,4,4,0,0,7
mxfp8_e5m2,0.76,2,0,0,11,crash,-1,-1,127,127,0,1549327428,188,4,4,0,0,7
mxfp8_e5m2,0.75,0,0,0,11,crash,-1,-1,127,127,0,2153283584,2161824852,4,0,0,0,7
mxfp8_e5m2,0.75,1,0,0,11,crash,-1,-1,127,127,0,2151415808,2161824854,4,0,0,0,7
mxfp8_e5m2,0.75,2,0,0,11,crash,-1,-1,127,127,0,2153250816,2161824896,4,0,0,0,7
mxfp8_e5m2,0.74,0,0,0,11,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e5m2,0.74,1,0,0,11,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e5m2,0.74,2,0,0,11,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
