format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
mxfp8_e4m3,0.85,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.85,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.84,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.84,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.84,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.83,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.83,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.83,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.82,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.82,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.82,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.81,0,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.81,1,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.81,2,1,14,14,normal,0,0,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.8,0,1,0,14,fault,14,3,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.8,1,1,0,14,fault,14,3,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.8,2,1,0,14,fault,14,3,127,127,0,4278124286,4042322160,2,4,0,0,7
mxfp8_e4m3,0.79,0,1,18,14,fault,28,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.79,1,1,18,14,fault,28,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.79,2,1,18,14,fault,28,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.78,0,1,8,14,fault,6,2,127,127,0,4278124270,4042322031,2,4,0,0,7
mxfp8_e4m3,0.78,1,1,8,14,fault,6,2,127,127,0,4278124286,4042289263,2,4,0,0,7
mxfp8_e4m3,0.78,2,1,24,14,fault,22,3,127,127,0,4278124286,1894838383,2,4,0,0,7
mxfp8_e4m3,0.77,0,0,0,14,crash,-1,-1,127,127,0,4269670654,4042289392,2,4,0,0,7
mxfp8_e4m3,0.77,1,0,0,14,crash,-1,-1,127,127,0,4277206640,4042322160,2,4,0,0,7
mxfp8_e4m3,0.77,2,0,0,14,crash,-1,-1,127,127,0,4278059245,4042289392,2,4,0,0,7
mxfp8_e4m3,0.76,0,0,0,14,crash,-1,-1,127,127,0,1894838512,1894840048,2,0,0,0,7
mxfp8_e4m3,0.76,1,0,0,14,crash,-1,-1,127,127,0,4278124269,4042322160,2,4,0,0,7
mxfp8_e4m3,0.76,2,0,0,14,crash,-1,-1,127,127,0,1869574126,1886417007,2,4,0,0,7
mxfp8_e4m3,0.75,0,0,0,14,crash,-1,-1,127,127,0,4033933424,4042289264,2,0,0,0,7
mxfp8_e4m3,0.75,1,0,0,14,crash,-1,-1,127,127,0,0,0,2,2,1,16,5
mxfp8_e4m3,0.75,2,0,0,14,crash,-1,-1,127,127,0,1886417136,4033900656,2,0,0,0,7
mxfp8_e4m3,0.74,0,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.74,1,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.74,2,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.73,0,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.73,1,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.73,2,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.72,0,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.72,1,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.72,2,0,0,14,crash,-1,-1,127,127,0,0,0,0,0,0,0,0
mxfp8_e4m3,0.71,0,0,0,14,crash,-1,-1,107,225,0,4278124286,4042322160,2,4,1,0,7
mxfp8_e4m3,0.71,1,0,0,14,crash,-1,-1,107,225,0,4278124286,4042322160,2,4,1,0,7
mxfp8_e4m3,0.71,2,0,0,14,crash,-1,-1,107,233,0,4278124286,4042322160,2,4,1,0,7
mxfp8_e4m3,0.7,0,0,0,14,crash,-1,-1,226,224,0,4278124286,4076008178,2,4,1,0,7
mxfp8_e4m3,0.7,1,0,0,14,crash,-1,-1,226,224,0,4278124286,4076008178,2,4,1,0,7
mxfp8_e4m3,0.7,2,0,0,14,crash,-1,-1,226,224,0,4278124286,4076008178,2,4,1,0,7
mxfp8_e4m3,0.69,0,0,96,14,crash,-1,-1,226,32,131266,1010712318,842150642,2,4,0,0,1
mxfp8_e4m3,0.69,1,0,96,14,crash,-1,-1,226,32,131778,1010712318,842150642,0,4,0,0,1
